peak-aif,Scan Nr,retention,Mass(uD),retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973,clusterId1,membership1
7664,3353,18513605,328192291,18514857,5266.53,24660,4546.69,4961.38,57798,5012.62,28424,4513.63,61501,22854,18982,26458,5206.36,4559.34,5401.55,48561,5156.06,5428.5,78820,18874,5436.71,23387,5398.45,4998.82,4707.31,21105,,
7665,3353,18513605,338175507,18511920,4755.11,4993.85,5212.53,5173.64,19895,4807.76,4976.81,4938.05,21544,4501.61,5369.63,5045.99,4998.48,5330.17,5090.26,18456,5424.28,4785.29,30688,5407.86,4745.32,4549.98,4892.21,4528.63,4652.82,5495.71,,
7666,3353,18513605,391175598,18509928,49080,42970,5217.41,4501.42,5209.29,5290.69,5331.17,4768.9,4840.85,10232,43811,13385,4926.97,13052,18268,5296.99,5228.69,11901,13628,4534.74,13781,16243,165068,219800,210010,44019,,
7667,3353,18513605,438200836,18520657,5269.6,5349.13,4889.99,4755.17,5211.53,5092.8,4586.79,5482.78,4688.23,4552.92,5170.14,5233.9,4569.97,5316.83,5433.78,4710.18,4739.72,5322.62,11784,5077.92,5087.14,5478.76,4814.98,17332,13948,4509.88,,
7668,3353,18513605,442259613,18526080,5424.97,5420.52,4564.9,4827.96,19347,5421.34,45869,5220.44,4547.25,4522.6,4952.32,21920,4897.48,4650.29,5390.27,4549.48,4668.47,4779.78,4508.84,4759.2,5431.4,5158.19,5169.91,4833.51,5284.77,4923.51,,
7669,3354,18519749,221082504,18520259,5330.42,4754.23,13350,15856,14211,17884,19454,17169,4779.51,15546,5344.6,11683,16422,11549,11817,5096.31,4636.11,5464.99,5227.71,4742.62,12083,16478,4666.63,4675.96,4584.23,12025,,
7670,3354,18519749,340053772,18557483,5400.94,5413.75,4502.28,4858.35,15682,4977.78,16624,5370.49,24166,5481.86,5012.19,5225.08,5478.74,4815.71,4905.23,5375.05,4513.69,4558.66,18397,5210.73,5316.64,5225.81,5203.37,4538.59,5391.37,5029.64,,
7671,3354,18519749,822364746,18524045,5426.39,4982.94,5218.6,5338.93,5131.07,5289.73,4514.78,5196.96,4518.84,5047.13,5036.88,16119,5035.82,13097,5140.54,16949,5273.09,14202,10415,5004.06,4554.83,4806.81,5071.4,4801.78,4858.54,5464.63,,
7672,3355,18525917,312196564,18524398,5072.5,5028.18,4809.55,5245.78,12140,4595.94,4658.74,4959.44,17654,4853.5,5031.28,4989.39,4599.98,5311.27,4711.93,5102.82,5198.1,5000.81,21517,4516.29,4716.31,5053.99,4738.37,5102.74,4916.58,4688.26,,
7673,3355,18525917,821361511,18518857,32214,15757,18624,19154,18740,25875,26004,26067,13102,18463,23192,37631,20821,37863,36208,42416,30268,36381,29830,30351,33919,20418,4855.07,4654.13,4967.41,31504,,
7674,3356,18532267,640269958,18555543,5133.41,5223.88,4971.48,5286.67,4981.44,5263.61,4850.7,4855.55,4641.54,5317.8,4788.46,20126,5358.08,19084,16269,19539,5035.44,19187,13961,4757.09,11341,5268.06,4615.02,4511.41,5003.64,4650.12,,
7675,3356,18532267,705165955,18586900,4834.58,4578.59,4824.61,4534.55,4632.78,4852.09,4568.53,4573.71,16525,12922,5395.44,4555.09,4786.56,4580.4,4902.58,5284.49,4528.48,4617.45,5022.18,4708.81,5277.84,10390,4852.23,5129.71,4533.32,5192.4,,
7676,3357,18538710,194054138,18460552,18711,18098,19281,5452.31,19313,4761.78,24555,4900.4,5173.58,5305.86,18375,22011,5391.6,20883,4618.85,26127,4944.89,17253,11942,4846.67,5087.99,4886.5,47199,41211,42035,17187,,
7677,3357,18538710,250080795,18530252,5209.07,4946.91,10669,10530,5376.5,4861.96,4635.37,11799,4682.17,4961.71,4803.95,4906.13,5458.26,4558.6,4601.06,5223.58,5346.62,5280.71,4924.26,5255.91,5081.9,4619.63,5339.96,5268.11,5259.65,5062.31,,
7678,3357,18538710,379174744,18532650,18665,5475.07,10829,13945,11566,4661.77,14643,13784,5360.29,4906.79,11728,14452,10687,17080,14390,14885,4760.76,13704,4936.02,4862.19,13268,5319.61,4932.02,13548,10078,13840,,
7679,3357,18538710,403179230,18548402,18802,15641,16425,16769,14724,15571,18727,17451,4663.5,17672,14344,21913,14144,21861,24655,20148,18215,22208,19844,21269,22692,13674,4573.03,5212.29,5487.16,15437,,
7680,3357,18538710,495260742,18532804,5420.65,5184.77,4861.17,5396.67,5483.59,5417.77,5001.91,5112.69,4925.77,5461.84,5251.82,12151,4721.35,4777.11,5485.41,5285.55,4888.98,4610.97,12659,5449.13,5357.44,11511,4723.47,4808.01,4767.47,5291.46,,
7681,3357,18538710,645347534,18669330,4975.74,5216.66,4766.78,4878.13,4700.48,4975.54,5317.19,4856.21,5277.88,5134.45,5173.96,4744.25,5395.93,4809.45,15350,4924.58,5424.81,4851.25,4650.74,5420.59,4586.06,4764.56,42290,51148,56079,4511.14,,
7682,3358,18545317,151040024,18703813,32781,31356,25149,19462,16415,20088,18956,18836,14308,24986,30458,18980,16755,23135,20640,5096.89,20621,19834,4823.98,19037,18583,17213,71750,5370.17,78713,29323,474,0.991712149953
7683,3358,18545317,177055862,18534560,4604.61,5394.61,5397.27,5154.02,5213.28,5331.58,4789.72,13353,5171.32,4954.24,5041.81,5384.25,12395,4774.41,5336.43,4614.01,5078.48,5199.37,4630.68,4993.75,14411,5279.68,5461.81,5313.64,4582.6,5014.2,,
7684,3358,18545317,402228333,18541252,4742.59,5498.58,4677.54,5070.62,26618,4685.48,5470.07,5109.89,28082,4736.29,5259.7,5498.08,4719.4,5411.37,4602.65,10626,4553.69,4968.3,31741,4573.94,4905.59,5258.38,5175.69,4883.46,4863.1,4856.21,,
7685,3359,18551918,115003563,18539369,4684.12,5055.92,4959.9,5109.34,50308,5259.92,5448.79,5426.38,49644,4777.7,4907.58,5262.55,4973.26,5227.51,4592.25,5483.81,4982.07,5187.76,55575,5318.46,4840.19,5133.14,4997.79,5266.67,5195.03,5033.42,,
7686,3359,18551918,161024307,18587232,5011.77,4744.89,169310,154333,5153.08,4948.66,165484,197021,130387,152308,5435.83,220738,4661.88,236719,283643,181785,4658.11,404420,5372.53,4998.07,275474,4931.74,4882.93,5134.21,705592,5406.06,474,1.0
7687,3359,18551918,545335022,18552389,5357.58,5439.59,4637.75,5194.33,4946.75,4611.82,4829.11,5074.61,4569.25,4783.49,4546.01,4904.7,5119.04,4518.25,4630.41,4758.08,4986.36,5483.19,4666.59,4873.1,5252.19,4948.59,32699,37115,53718,5218.79,,
7688,3359,18551918,639265808,18542067,40040,32833,33398,30062,35817,24853,45723,29824,32574,31195,31547,60724,26567,56571,53893,57789,33754,53298,52216,38737,42706,38295,5318.16,5357.85,4960.17,37880,474,1.0
7689,3360,18558489,127003510,18508572,13342,11267,12746,27274,4677.74,5216.85,4896.27,14094,4935.18,4962.06,4994.9,4568.58,4951.42,17631,44274,4854.4,23421,5289.33,5079.48,18439,31623,5361.09,5037.12,5353.9,5477.19,11629,474,1.0
7690,3360,18558489,215056320,18585544,5051.46,4522.04,5241.81,5316.27,4520.52,4658.6,4667.89,5162.08,17762,16921,5278.39,5417.34,4746.82,4676.02,4939.6,5085.78,4852.32,4725.33,10461,5056.2,4892.12,15160,5136.29,5172.94,5085.57,4679.4,474,0.800647952254
7691,3360,18558489,331210175,18550195,5460.47,5411.49,4908.87,5323.19,13782,4903.17,4668.49,4790.45,14254,5308.21,5176.93,5492.12,5014.1,5211.25,5358.28,4551.36,5074.28,5002.66,18754,5043.6,5478.62,4820.69,4596.58,5219.27,4906.55,5198.62,474,1.0
7692,3360,18558489,339050323,18600350,66663,63665,46538,40230,86641,55618,83774,5041.23,129487,119028,55867,48085,23592,65067,37353,53697,11205,33960,94445,54388,4736.38,99109,51994,5409.68,5325.29,69548,474,0.920906699589
7693,3360,18558489,345170349,18560608,5234.4,4600.45,5483.33,5104.76,4501.85,5157.48,5493.42,5282.83,5398.4,5127.01,4666.93,4530.87,4896.08,28764,5144.2,5047.66,4986.73,4591.95,5173.37,4843.85,32090,23431,4828.61,4979.91,4500.3,4518.37,474,1.0
7694,3360,18558489,392179047,18530223,5469.81,4647.98,4948.41,5262.16,4930.08,4535.19,5457.68,5371.27,4969.85,4918.79,4673.06,5074.32,4641.45,4875.26,5429.14,4770.78,4545.46,5218.09,5406.15,5046.97,4634.76,4818.35,36895,50375,45883,4542.15,474,1.0
7695,3360,18558489,515118164,18607259,16048,15011,5438.55,4596.1,4874.24,5284.34,4911.36,5108.05,18494,17626,15313,4912.78,4816.24,4965.81,5077.22,4779.49,5499.88,5454.89,4753.83,5281.95,4593.86,15542,107976,94237,87403,18100,474,1.0
