peak#,scan,retention,mass,clusterId,centrotype,membership,clusterId,centrotype,membership,clusterId,centrotype,membership,retentionMean,Qe05965,Qe05948,Qe05949,Qe05950,Qe05951,Qe05952,Qe05953,Qe05954,Qe05955,Qe05956,Qe05957,Qe05958,Qe05959,Qe05960,Qe05961,Qe05962,Qe05963,Qe05964,Qe05966,Qe05967,Qe05968,Qe05969,Qe05970,Qe05971,Qe05972,Qe05973
59,200,1349592,1.27E+08,,,,,,,,,,1346476,27262.83,52214,23806.79,23084.99,24109.07,23753.13,22752.24,69691,25705.87,23180.57,23572.01,67213,25033.46,27020.74,23968.88,25335.74,24053.42,56477,25300.19,25976.45,58676,24498.69,66505,25845.88,23722.77,23509.97
60,200,1349592,1.40E+08,,,,,,,,,,1363334,22671.22,22854.81,67352,25462.12,23906.01,83685,81661,23239.59,26472.61,23541.52,26547.6,24491.21,23264.93,81607,23755.67,91675,51437,23891.25,23567.66,22719.63,25592.89,23880.42,25814.01,25844.26,25046.29,23883.58
61,201,1356301,9.90E+07,,,,,,,,,,1323528,22980.09,87246,76488,26043.13,72602,26923.55,25749.78,24720.75,23571.47,23656.66,23135.63,126006,22546.58,89161,136895,23752.01,22920.57,23203.02,23539.14,23536.91,25778.34,22695.18,26947.35,26632.76,26209.7,26505.45
62,202,1362936,1.43E+08,,,,,,,,,,1361175,25057.01,23399.08,84459,24540.31,25483.21,27420.71,72925,23610.85,26008.31,25349.36,25210.45,68061,25320.59,68962,64629,26048.51,27132.27,26324.93,24557.91,23324.04,25246.72,23317.96,23595.34,26366.82,26661.85,26224.82
63,203,1369505,1.24E+08,,,,,,,,,,1324788,60842,57711,53213,27483.79,27206.35,25462.37,27232.76,23310.32,25254.27,26743.12,26062.89,27408.02,66265,51306,22609.81,27036.83,22854.27,26458.91,25916.41,24394.01,23936.75,24123.71,24790.88,56698,23500.93,83622
64,206,1386307,1.21E+08,,,,,,,,,,1288799,25904.1,22843.48,26124.59,27040.36,24830.45,26858.65,24347.83,23275.39,25166.22,25852.3,23532.28,25360.02,25780.5,23805.28,22511.36,26853.36,25443.22,52948,23942.7,22704.67,53876,25613.82,23320.56,56137,27292.58,26784.14
65,206,1386307,1.23E+08,,,,,,,,,,1361214,25271.69,24856.31,22802.22,26947.75,22643.03,23032.07,26975.17,24760.56,25540.99,27307.2,26523.33,25198.48,23158.54,60127,57578,26110.72,25198.09,52971,25624.61,27144.98,25044.29,23562.04,27141.13,24600.16,22727.01,25891.67
66,207,1391278,1.34E+08,,,,,,,,,,1287793,25374.39,59099,57995,26433.7,25207.83,23701.42,52509,27482.39,25617.83,25505.18,23352.55,70620,74385,26785.74,85928,25813.58,24281.43,26418.04,22876.03,23206.44,25314.97,24815.91,23593.57,27200.18,22910.97,24628.66
67,208,1396069,2.41E+08,,,,,,,,,,1393029,65826,80578,89169,66114,70314,74856,60663,69524,71640,68802,69290,70765,67898,70808,60304,74523,69131,65437,66412,78700,67773,66007,65119,68849,71429,75146
68,209,1400769,2.43E+08,2,68,0.999955206,,,,,,,1401172,62649,78474,80792,69194,73202,80551,62014,68594,72912,68841,65584,63386,65801,56258,60604,56664,69058,54487,61585,71570,57911,57421,93777,26579.04,62427,67881
69,209,1400769,3.55E+08,,,,,,,,,,1398398,89545,97542,110472,103202,116508,103109,101213,100031,100639,102778,96575,96165,95028,96912,94808,92523,96029,94420,86251,83426,97717,90761,92529,89660,95837,78114
70,210,1405417,2.27E+08,,,,,,,,,,1403706,482983,570876,613390,22516.75,543352,537190,27207.04,534336,25464.97,27116.57,515882,515391,497711,500225,23699.14,499930,501220,485055,471913,520739,457511,460646,468980,510932,492280,529851
71,211,1410005,2.03E+08,,,,,,,,,,1410004,112909,127822,128751,123003,119446,134357,129516,127684,117628,133747,126859,128635,120386,126888,116739,121051,123305,113321,115758,130443,119714,109028,122497,112181,109773,110339
72,212,1414540,1.49E+08,,,,,,,,,,1414192,394577,479413,504207,430242,428999,429760,426116,437662,422211,417613,413780,424878,416445,419693,409366,400867,423344,404343,382888,413766,378222,378306,369324,381041,390077,424220
73,212,1414540,2.09E+08,,,,,,,,,,1410704,1786750,2068293,2136021,1902839,1895464,1863750,1839368,1819097,1807352,1830426,1776638,1810738,1774901,1800788,1793643,1770443,1793131,1774021,1695588,1938179,1756814,1725317,1740134,1853228,1808704,1953775
74,212,1414540,2.10E+08,,,,,,,,,,1410347,318250,365057,366468,339369,324744,321135,333031,312727,316306,314168,305405,316395,311141,323065,311228,304716,311396,309503,292707,325585,308537,298515,297589,321613,319616,346490
75,212,1414540,2.11E+08,,,,,,,,,,1411033,302185,23593.18,25122.59,325274,311913,311794,314229,302473,299113,304565,292913,296144,288434,306341,299284,304926,294691,301650,301067,24894.27,307778,294346,293192,307628,303757,318454
76,212,1414540,3.13E+08,,,,,,,,,,1408243,67485,78286,85989,85974,68212,74453,69392,56234,68317,63775,62824,56780,68363,74088,62469,70127,66600,71959,61153,75929,64385,71818,57146,59588,67066,65878
77,214,1423534,1.49E+08,,,,,,,,,,1545413,22754.36,253872,272366,26667.09,26642.32,22553.21,27246.24,259817,23629.83,24430.36,24796.9,231659,243550,233160,24292.57,26656.94,230435,23511.07,27316.44,27339.1,219398,25269.23,228247,25824.39,23154.45,22843.43
78,214,1423534,2.65E+08,,,,,,,,,,1395943,26507.38,56439,61858,24547.36,50831,25096.78,22641.17,25233.62,24131.34,26963.28,24989.26,25925.79,26715.2,26271.33,25259.07,54623,26269.44,24851.11,25129.82,54861,24702.39,27156.02,26898.52,25096.38,26490.65,24007.58
79,214,1423534,3.39E+08,,,,,,,,,,1443222,156927,198151,194858,155006,185786,186572,165057,155001,171476,175653,177344,163290,147154,126638,123223,148561,157304,159965,128252,202134,149878,172192,266433,111518,155587,153635
80,214,1423534,5.05E+08,,,,,,,,,,1423382,265799,285978,305387,261962,257735,251131,298679,296114,266057,238918,259852,264110,245404,277550,258182,254452,258492,300029,249384,254969,276952,228379,210701,338993,271415,291541
81,215,1428009,3.42E+08,,,,,,,,,,1463501,56115,71394,69802,69025,23632.34,62449,66750,55119,59310,64543,69108,64292,57307,62040,59079,57038,69331,59388,61619,53246,58712,61310,66780,65768,62048,72127
82,215,1428009,4.53E+08,,,,,,,,,,1447484,74939,94615,75650,79252,98196,92969,90754,101715,91159,82892,89627,76181,97342,74649,83496,67651,88628,77793,71845,98181,92692,84963,115784,57300,71917,84436
83,216,1432490,2.00E+08,,,,,,,,,,1427694,76395,27475.89,23748.6,51662,58422,59068,24323.89,54331,59572,67776,62116,56236,68574,80756,27450.53,66080,79579,70210,69702,27400.93,88606,85899,72935,90464,98068,26287.43
